Időbélyeg,"1. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","2. Az első hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","3. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","4. A második hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","5. Mennyire elfogadható számodra, ha egy családi beszélgetésben így beszélnek, azaz ezt a nyelvváltozatot hallod?","6. A harmadik hangfelvételen hallható nyelvváltozat olyan-e, mint ahogyan a tágabb környezetedben beszélnek?","7. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","8. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?","9. Mennyire elfogadható számodra, ha a televízióban hallod ezt nyelvváltozatot?",10. Hogyan értékelnéd saját régiód nyelvváltozatát – nyelvjárását?,11. Mely helyzetekben használod a saját nyelvváltozatodat – nyelvjárásodat? (Több választ is megjelölhetsz!),12. Véleményed szerint te ismered a saját régiód nyelvjárását?,13. Szerinted előny vagy hátrány a nyelvjárás ismerete?,14. Mely helyzetekben használsz köznyelvi változatot? (Több választ is megjelölhetsz!),15. Véleményed szerint beszéled a magyarországi magyar köznyelvet?,16. Szerinted van különbség a Magyarországon és a Szlovákiában használt magyar nyelv között?,"17. Tett-e már valaki megjegyzést arra, ahogyan beszéltél?","18. Amennyiben tett már valaki megjegyzést a beszédedre, milyen helyzetben történt? Mit kifogásoltak? ",19. Mi a nemed?,20. Mi a nemzetiséged?,21. Mi az anyanyelved?,22. Melyik településen élsz?,23. Milyen típusú iskola diákja vagy?,24. Hányadik osztályba jársz?,25. Milyen nyelven zajlik az oktatás az általad látogatott képzésen?,26. Iskola,27. Iskola régiója,28. Lakhely régiója
6/8/2022 16:27:18,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben",talán egy kicsit,igen,igen,"Kifogásolták a kiejtésemet és azt, hogy szlovák szavakat használtam miközben magyarul beszéltem.",lány,magyar,magyar,Vágsellye,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:29:08,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,inkább elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",igen,előny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben",talán egy kicsit,igen,igen,"Barátságos megjegyzés volt, Magyarországiak szólták meg, hogy furcsán beszélek",lány,magyar,magyar,Pered,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:32:26,inkább elfogadható,hasonlít,inkább elfogadható,nem,teljesen elfogadható,igen,inkább elfogadható,nem tudom megítélni,nem tudom megítélni,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",szerintem elég jól,előny,"levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Beszélgettünk chat-ben magyarországiakkal online és meg kérdezték, hogy külföldi vagyok-e az akcentrusom miatt. De kedvesek voltak vele.",fiú,magyar és szlovák,magyar,Felsőszeli,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:35:38,teljesen elfogadható,nem,teljesen elfogadható,nem,teljesen elfogadható,nem tudom,inkább elfogadható,inkább nem elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben",talán egy kicsit,nem tudom,"iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Nem feltétlenül rosszat mondtak, inkább megdícsérték ahogy beszélek. De néha í betűt használok mondjuk a pénzt máshogy mondom.",fiú,magyar,magyar,Tany,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:36:57,teljesen elfogadható,hasonlít,teljesen elfogadható,nem,teljesen elfogadható,igen,inkább elfogadható,inkább elfogadható,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",szerintem elég jól,nem tudom,"magyarországi magyarokkal, levélben vagy fogalmazás írása közben",szerintem elég jól,igen,nem,,fiú,magyar és szlovák,magyar,Alsószeli,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:38:46,teljesen elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,igen,inkább elfogadható,inkább elfogadható,inkább elfogadható,szeretem ezt használni,"baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",szerintem elég jól,nem tudom,"családi beszélgetésben, iskolában a szünetben, iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,igen,Magyarországi magyarok néhány kifejezést nem értettek és visszakérdeztek rá.,fiú,magyar és szlovák,magyar,Nyárasd,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:40:42,inkább elfogadható,nem tudom,inkább elfogadható,nem tudom,nem tudom megítélni,nem tudom,inkább elfogadható,nem tudom megítélni,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben",talán egy kicsit,nem tudom,"magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",inkább nem,igen,igen,"Random baráti beszélgetés közben, nem fogásoltak semmit.",fiú,magyar,magyar,Nyitracsehi,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:42:09,inkább elfogadható,hasonlít,inkább elfogadható,nem,inkább elfogadható,nem tudom,inkább elfogadható,nem tudom megítélni,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben",talán egy kicsit,nem tudom,"iskolában az órákon, levélben vagy fogalmazás írása közben",szerintem elég jól,nem tudom,nem,,fiú,magyar és szlovák,magyar,Vágsellye,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:43:57,inkább elfogadható,nem,inkább elfogadható,nem,inkább elfogadható,hasonlít,inkább elfogadható,nem tudom megítélni,nem tudom megítélni,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",szerintem elég jól,előny,"magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",inkább nem,igen,nem,,fiú,magyar és szlovák,magyar,Feketenyék,szakközépiskola,1.,magyar nyelven,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:46:46,inkább elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Néhány magyarországi ismerősömmel beszélgettem, és azon nevettek, hogy pár szót nagyon tájszólással ejtek, pl: kabát, mittomén, és az ilyen szavakat.",lány,magyar,magyar,Farnad,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:48:58,teljesen elfogadható,nem,nem tudom megítélni,nem tudom,teljesen elfogadható,igen,teljesen elfogadható,nem tudom megítélni,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon",szerintem elég jól,előny,iskolában a szünetben,talán egy kicsit,igen,nem,,fiú,magyar,magyar,Farnad,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:50:38,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,nem tudom megítélni,igen,inkább elfogadható,inkább nem elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"iskolában az órákon, levélben vagy fogalmazás írása közben",talán egy kicsit,igen,nem,,lány,magyar,magyar,Csallóközaranyos,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 16:52:03,inkább elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,nem tudom megítélni,inkább nem elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"iskolában az órákon, levélben vagy fogalmazás írása közben",talán egy kicsit,igen,nem,,fiú,magyar és szlovák,magyar,Tardoskedd,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:02:36,inkább elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,inkább nem elfogadható,egyáltalán nem elfogadható,inkább nem elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben",szerintem elég jól,igen,igen,Amikor ide kerültünk erre a sulira és meghallottak először beszélni. Paradicsomok helyett paradicsmot mondok és még sok hasonló.,lány,magyar,magyar,Udvard,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:05:06,inkább elfogadható,hasonlít,teljesen elfogadható,igen,inkább elfogadható,hasonlít,inkább elfogadható,nem tudom megítélni,nem tudom megítélni,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",szerintem elég jól,előny,"iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,"Iskolában, vagy amikor új emberekkel találkoztam. Megjegyzést tettek, hogy máshogy ejtem ki a szavakat vagy hogy olyan szót még nem hallottak.",lány,magyar,magyar,Zsitvabesenyő,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:06:53,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,igen,inkább elfogadható,egyáltalán nem elfogadható,nem tudom megítélni,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",igen,előny,"iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben",szerintem elég jól,igen,igen,Baráti körben,fiú,magyar és szlovák,magyar,Érsekújvár,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:08:19,inkább elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,hasonlít,inkább elfogadható,inkább nem elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",igen,előny,"iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,,fiú,magyar,magyar,Pered,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:10:06,inkább elfogadható,hasonlít,nem tudom megítélni,nem,inkább elfogadható,nem tudom,teljesen elfogadható,inkább elfogadható,inkább elfogadható,inkább tetszik,semmilyen helyzetben,talán egy kicsit,nem tudom,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,nem,nem,,fiú,magyar,magyar,Gúta,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:11:39,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,nem tudom,semmilyen helyzetben,igen,igen,nem,,fiú,szlovák,magyar,Érsekújvár,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:14:42,inkább elfogadható,nem,inkább elfogadható,nem,nem tudom megítélni,nem,inkább elfogadható,inkább nem elfogadható,inkább nem elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal",igen,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,"Chatelés közben magyaroroszági magyarok, furcsálták a helyesírásomat és a szóvégi esetleges hangelhagyásokat és még a mondatalkotásomat, szórendet.",fiú,magyar,magyar,Zselíz,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:16:28,teljesen elfogadható,nem,teljesen elfogadható,nem,teljesen elfogadható,hasonlít,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, szlovákiai magyarokkal",szerintem elég jól,előny,"baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,fiú,magyar,magyar,Nagycétény,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:18:05,teljesen elfogadható,nem,teljesen elfogadható,nem,teljesen elfogadható,hasonlít,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten, semmilyen helyzetben",szerintem elég jól,igen,nem,,fiú,magyar,magyar,Érsekújvár,szakközépiskola,1.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:19:59,inkább elfogadható,nem,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,inkább nem elfogadható,nem tudom megítélni,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",igen,előny,"baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,igen,Szlovákos kiejtés magyar szavaknál,lány,magyar és szlovák,magyar és szlovák,Szőgyén,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:21:24,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,nem tudom megítélni,nem tudom megítélni,nem tudom megítélni,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben",szerintem elég jól,előny,"iskolában a szünetben, iskolában az órákon, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,nem,,lány,magyar és szlovák,magyar,Nagycétény,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:23:06,inkább elfogadható,nem,inkább nem elfogadható,nem,teljesen elfogadható,igen,teljesen elfogadható,inkább elfogadható,inkább elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában az órákon",szerintem elég jól,nem tudom,iskolában az órákon,igen,igen,nem,"Nem tett senki megjegyzést, nem történt még ilyen.",lány,szlovák,szlovák,Szelőce,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:25:28,inkább elfogadható,nem,inkább elfogadható,nem,teljesen elfogadható,hasonlít,teljesen elfogadható,inkább nem elfogadható,inkább elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában az órákon",igen,igen,igen,"Családi környezetben, beszélgetésben édesanyám szóvá teszi, ha a kelleténél jobban, csúnyábban fejezem ki magam.",lány,magyar,magyar,Ebed,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:26:56,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",szerintem elég jól,előny,"családi beszélgetésben, iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,pár szót nem értettek,lány,magyar,magyar,Komárom,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:28:26,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,inkább elfogadható,inkább nem elfogadható,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"iskolában az órákon, magyarországi magyarokkal, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,nem,,lány,magyar,magyar,Udvard,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:29:56,inkább elfogadható,hasonlít,inkább elfogadható,nem,inkább elfogadható,nem,inkább elfogadható,inkább nem elfogadható,inkább elfogadható,semleges,családi beszélgetésben,talán egy kicsit,előny,"baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal",talán egy kicsit,igen,nem,,lány,magyar,magyar,Kisgyarmat,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:31:59,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,igen,nem tudom megítélni,egyáltalán nem elfogadható,egyáltalán nem elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",igen,előny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,"A kiejtésre, ahogyan pár szót mondtam, túl felvidékinek hangzott.",lány,magyar,magyar,Ógyalla,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:35:25,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,inkább elfogadható,inkább nem elfogadható,inkább elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,nem,,lány,magyar és szlovák,magyar,Nagysalló,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:37:30,inkább elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,inkább elfogadható,nem tudom megítélni,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal, e-mailben, SMS-ben, chaten",szerintem elég jól,előny,"iskolában a szünetben, szlovákiai magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,igen,"Azt kifogásolták, hogy milyen magyarosan beszélek ahhoz képest, hogy falusi vagyok.",lány,magyar,magyar,Kisújfalu,szakközépiskola,2.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:39:15,teljesen elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",igen,nem tudom,"magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",egyáltalán nem,igen,igen,,lány,"magyar, amerikai","magyar, angol",Bart,szakközépiskola,3.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:41:03,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,igen,teljesen elfogadható,inkább elfogadható,teljesen elfogadható,szeretem ezt használni,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, szlovákiai magyarokkal",igen,előny,"iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,nem,,lány,magyar és szlovák,magyar,Zsitvabesenyő,szakközépiskola,3.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:42:59,teljesen elfogadható,igen,inkább nem elfogadható,nem,teljesen elfogadható,igen,teljesen elfogadható,nem tudom megítélni,inkább nem elfogadható,teljes mértékben nem tetszik,"szlovákiai magyarokkal, semmilyen helyzetben",szerintem elég jól,előny,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",igen,igen,igen,"A legtöbbször azt kaptam meg, hogy nincs tájszólásom - ezt pozitívan fogadtam.",lány,magyar,magyar,Alsószeli,szakközépiskola,3.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:44:43,teljesen elfogadható,hasonlít,teljesen elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,teljesen elfogadható,inkább elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, szlovákiai magyarokkal",szerintem elég jól,előny,"iskolában az órákon, magyarországi magyarokkal, e-mailben, SMS-ben, chaten",talán egy kicsit,igen,igen,"A tájszólásomat, akkor ha ők másképp beszélnek mint én.",lány,magyar,magyar,Kürt,szakközépiskola,3.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:46:15,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,teljesen elfogadható,igen,teljesen elfogadható,teljesen elfogadható,teljesen elfogadható,inkább tetszik,"családi beszélgetésben, baráti beszélgetésben, iskolában a szünetben, iskolában az órákon",szerintem elég jól,előny,semmilyen helyzetben,szerintem elég jól,igen,igen,Barátok viccként tették a megjegyzéseket.,fiú,magyar és szlovák,magyar,Komáromszentpéter,szakközépiskola,3.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
6/8/2022 17:50:22,teljesen elfogadható,nem,inkább elfogadható,hasonlít,inkább elfogadható,hasonlít,inkább elfogadható,nem tudom megítélni,inkább elfogadható,semleges,"családi beszélgetésben, baráti beszélgetésben",talán egy kicsit,előny,"iskolában a szünetben, iskolában az órákon, magyarországi magyarokkal, levélben vagy fogalmazás írása közben, e-mailben, SMS-ben, chaten",szerintem elég jól,igen,igen,"Horgászni voltam, és egy enyhén sokat ivó bácsika azt feltételezte, hogy én Magyar országi vagyok, mivel éppen úgy beszéltem, és nem tudta megérteni, hogy nem.",fiú,magyar,magyar,Ipolyság,szakközépiskola,3.,magyar és szlovák nyelven is,"Spojená škola, Komárňanská 28, Nové Zámky",Nyugat-Szlovákia,Nyugat-Szlovákia
